Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
23/06/22,3,16500,1100,Ground out of 3,Super Area,Mominpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
12/06/22,3,8000,700,Ground out of 3,Carpet Area,"Halisahar Station Road, Kanchrapara",Kolkata,Unfurnished,Family,2,Contact Owner
10/05/22,2,12000,800,Ground out of 3,Super Area,Santoshpur,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
27/06/22,2,6500,670,2 out of 2,Super Area,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,Unfurnished,Family,1,Contact Owner
30/04/22,4,40000,1300,1 out of 2,Super Area,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
06/05/22,1,5000,190,Ground out of 2,Super Area,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
24/05/22,2,9000,700,Ground out of 2,Super Area,Kabardanga,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
17/06/22,1,7000,240,Ground out of 4,Carpet Area,Jadavpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
19/05/22,2,18000,850,2 out of 4,Carpet Area,Behala Chowrasta,Kolkata,Semi-Furnished,Family,1,Contact Owner
26/05/22,1,9000,950,1 out of 2,Super Area,Haltu,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
11/06/22,1,5500,450,1 out of 2,Carpet Area,Botanical Garden Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
08/06/22,2,7500,800,Ground out of 2,Carpet Area,Bonhooghly,Kolkata,Unfurnished,Bachelors,1,Contact Owner
02/07/22,2,4000,600,1 out of 2,Carpet Area,Nilgung Old Bazar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
30/05/22,3,10500,800,2 out of 2,Carpet Area,"Teghoria, Baguiati",Kolkata,Unfurnished,Bachelors,2,Contact Owner
03/07/22,3,15000,1100,Ground out of 2,Carpet Area,Survey Park,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
16/06/22,2,15000,800,Ground out of 2,Carpet Area,Baguiati,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
13/05/22,1,50000,2200,2 out of 5,Super Area,Kanchrapara,Kolkata,Furnished,Bachelors/Family,3,Contact Owner
08/06/22,2,12000,950,1 out of 1,Carpet Area,"Jote Shibrampur, Joth Shibrampur",Kolkata,Unfurnished,Bachelors,2,Contact Owner
25/04/22,2,11000,550,2 out of 3,Carpet Area,Ultadanga,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
04/06/22,2,12000,1800,1 out of 1,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,2,Contact Owner
11/05/22,2,8000,1000,Ground out of 2,Super Area,"Chinar Park, Rajarhat",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
27/05/22,2,18000,600,Ground out of 3,Super Area,Bagha Jatin Pally,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
24/04/22,2,8000,750,2 out of 4,Carpet Area,rishi aurobindo sarani neat NIOH hospital,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
10/05/22,2,7000,685,2 out of 3,Super Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
24/05/22,1,6500,44,Ground out of 1,Carpet Area,Baranagar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
10/06/22,4,13000,1200,Ground out of 2,Carpet Area,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
05/05/22,2,9000,500,Ground out of 2,Carpet Area,Airport Near Gate No. 21/2,Kolkata,Unfurnished,Bachelors,1,Contact Owner
29/04/22,4,10000,1110,2 out of 2,Carpet Area,Purbasa,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
05/05/22,2,12000,1000,1 out of 3,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
26/06/22,2,5000,392,Ground out of 2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
09/05/22,2,6000,700,1 out of 2,Super Area,Barasat-Barrackpore Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
19/05/22,1,5200,750,2 out of 4,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
07/06/22,3,15000,1500,1 out of 2,Super Area,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",Kolkata,Unfurnished,Family,2,Contact Owner
29/04/22,2,9000,900,Ground out of 1,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
03/07/22,1,24000,710,1 out of 1,Super Area,Salt Lake City Sector 1,Kolkata,Furnished,Bachelors,1,Contact Agent
26/05/22,1,5500,400,Ground out of 3,Carpet Area,jadavpur central park east,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
24/06/22,1,10000,700,1 out of 2,Carpet Area,Garia,Kolkata,Unfurnished,Bachelors,1,Contact Owner
03/07/22,2,15000,1000,Ground out of 2,Carpet Area,Tn Chatterjee Street,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
12/06/22,1,4700,250,1 out of 2,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
14/05/22,1,5000,500,Ground out of 3,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
20/05/22,2,5000,450,2 out of 2,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
27/06/22,3,15000,1400,1 out of 3,Super Area,Survey Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
14/05/22,1,5000,500,1 out of 1,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
17/06/22,2,6000,700,Ground out of 1,Carpet Area,Hatiara Extention,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
04/06/22,3,18000,1200,1 out of 3,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
21/06/22,2,8000,450,1 out of 2,Carpet Area,Andul,Kolkata,Unfurnished,Bachelors,1,Contact Owner
23/06/22,1,13000,500,2 out of 2,Carpet Area,Salt Lake City Sector 2,Kolkata,Furnished,Bachelors,1,Contact Agent
02/07/22,2,7500,400,Ground out of 1,Carpet Area,locality,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
24/04/22,3,12000,1000,Ground out of 1,Super Area,Khardah,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
04/06/22,2,11000,750,Ground out of 1,Carpet Area,Parnasree Pally,Kolkata,Unfurnished,Bachelors,1,Contact Owner
24/06/22,1,6000,450,Ground out of 2,Super Area,Baghajatin,Kolkata,Unfurnished,Family,1,Contact Owner
19/06/22,3,20000,1000,1 out of 2,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors,2,Contact Agent
03/07/22,2,7000,500,1 out of 1,Carpet Area,sarsuna banerjee para,Kolkata,Unfurnished,Bachelors,2,Contact Owner
19/06/22,4,30000,1600,Ground out of 1,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors,2,Contact Agent
02/07/22,2,7500,550,Ground out of 1,Carpet Area,Near Seven Tanks Road Dumdum Station,Kolkata,Unfurnished,Bachelors,1,Contact Owner
21/06/22,1,6500,550,1 out of 2,Super Area,Jyangra,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
04/06/22,1,3000,200,2 out of 3,Super Area,Barasat,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
30/06/22,2,5200,650,1 out of 2,Carpet Area,Sukchar,Kolkata,Unfurnished,Bachelors,1,Contact Owner
22/06/22,2,25000,1000,1 out of 1,Super Area,"Tagore Park, Kasba",Kolkata,Furnished,Bachelors/Family,2,Contact Owner
27/05/22,2,12500,680,Ground out of 2,Carpet Area,Barrackpore,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
17/06/22,2,8500,720,Ground out of 1,Carpet Area,"Silpara, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
20/06/22,2,3500,500,4 out of 5,Carpet Area,Konnagar,Kolkata,Unfurnished,Bachelors,1,Contact Owner
30/06/22,2,7000,800,Ground out of 2,Super Area,Madhyam Gram,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
19/05/22,1,3000,160,Ground out of 1,Super Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
19/06/22,2,14000,1200,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent
17/06/22,1,18000,700,Ground out of 4,Super Area,Salt Lake City Sector 3,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
13/06/22,1,3500,1000,Ground out of 1,Super Area,Dum Dum Cantonment,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
16/06/22,2,16000,1250,Ground out of 1,Super Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent
06/05/22,4,35000,1600,Ground out of 3,Super Area,Salt Lake City,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
04/06/22,2,21000,700,Ground out of 2,Super Area,Lake Gardens,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
16/06/22,1,4500,450,Ground out of 2,Super Area,"Silpara, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
04/06/22,2,15000,839,1 out of 3,Super Area,Howrah,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
01/07/22,1,4500,230,Ground out of 3,Super Area,Birati,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
06/05/22,1,5500,1800,Ground out of 2,Super Area,Baranagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
10/05/22,2,8500,800,1 out of 2,Super Area,Baguihati,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
27/05/22,1,5000,500,Ground out of 1,Carpet Area,BRAHMAPUR NEAR BANSDRONI,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
22/05/22,2,8500,620,Ground out of 1,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors,1,Contact Owner
24/04/22,2,9000,650,2 out of 3,Carpet Area,tollygunge Kabardanga,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
23/05/22,1,7500,550,1 out of 2,Super Area,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
23/04/22,2,7000,450,1 out of 3,Carpet Area,safuipara,Kolkata,Furnished,Bachelors,2,Contact Owner
24/04/22,3,15000,1350,1 out of 2,Carpet Area,"Annapurna Apartment, Rajarhat Chowmatha",Kolkata,Unfurnished,Family,2,Contact Owner
06/05/22,2,7000,600,2 out of 2,Super Area,"Park Circus, Ballygunge",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
31/05/22,3,10000,1200,2 out of 4,Super Area,Belghoria,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
25/06/22,2,7000,700,1 out of 2,Super Area,"Haridevpur, Paschim Putiary",Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
27/06/22,3,3200,800,1 out of 3,Carpet Area,Bhawanipur,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
19/06/22,2,6000,600,Ground out of 3,Carpet Area,Santoshpur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
19/06/22,2,12000,900,1 out of 3,Super Area,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
31/05/22,2,6000,750,Ground out of 1,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
01/07/22,3,10000,1250,1 out of 2,Super Area,Jaffarpore Rifle Range Road,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
31/05/22,3,12000,1000,2 out of 2,Super Area,Dariya,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner
03/06/22,2,8000,600,Ground out of 2,Super Area,Howrah,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
30/06/22,2,5300,650,1 out of 1,Carpet Area,Sodepur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
24/06/22,2,5000,450,2 out of 3,Carpet Area,Liluah,Kolkata,Unfurnished,Bachelors,1,Contact Owner
11/06/22,3,8500,800,Ground out of 2,Super Area,Near DumDum Metro,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
19/06/22,3,22000,1000,Ground out of 3,Carpet Area,"Sukanta Nagar, New Barrakpur",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
19/06/22,2,7000,1000,Ground out of 3,Super Area,"Kumarpara, Narendrapur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
25/06/22,3,25000,1400,5 out of 5,Carpet Area,Salt Lake City,Kolkata,Furnished,Bachelors,3,Contact Agent
11/06/22,2,7000,600,1 out of 4,Carpet Area,Barrackpore,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
13/06/22,2,15000,723,Ground out of 3,Carpet Area,Narendrapur,Kolkata,Furnished,Family,1,Contact Owner
19/06/22,1,6000,320,Ground out of 2,Carpet Area,Sahid Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
17/06/22,2,8000,900,Ground out of 3,Super Area,Belghoria,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
27/05/22,3,40000,1400,Ground out of 2,Carpet Area,Salt Lake City Sector 2,Kolkata,Furnished,Bachelors/Family,2,Contact Agent
24/06/22,1,6000,2160,1 out of 2,Super Area,Kasba,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
22/06/22,2,15000,650,Ground out of 2,Carpet Area,kasba bosepukur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
16/06/22,2,6500,800,1 out of 1,Super Area,Kanchrapara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
08/06/22,3,8000,800,2 out of 3,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
05/05/22,1,5500,500,Ground out of 2,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
28/06/22,3,9000,1700,1 out of 2,Super Area,Panchanantala Road,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
27/04/22,1,6000,130,Ground out of 2,Carpet Area,Bow Bazar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
14/05/22,1,15000,505,Ground out of 3,Super Area,Kasba,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
04/07/22,4,30000,4000,Ground out of 3,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Furnished,Bachelors/Family,3,Contact Agent
22/05/22,3,30000,1250,Ground out of 2,Super Area,New Alipore,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
15/06/22,1,5000,700,Ground out of 2,Carpet Area,My Own House,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
12/06/22,2,15000,900,Ground out of 1,Super Area,"Park Circus, Ballygunge",Kolkata,Unfurnished,Bachelors,1,Contact Owner
26/06/22,1,6500,650,1 out of 1,Super Area,Joka,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
29/06/22,2,4500,750,Ground out of 1,Super Area,Azadgarh,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
07/05/22,2,7000,450,Ground out of 3,Carpet Area,Mandirtala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
25/06/22,1,6500,350,1 out of 2,Carpet Area,Dhakuria,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
12/06/22,1,17500,480,1 out of 2,Carpet Area,Rabindra Sarovar Metro,Kolkata,Furnished,Bachelors,2,Contact Owner
18/06/22,2,10000,900,Ground out of 3,Super Area,Garia,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
24/05/22,1,1500,200,Ground out of 2,Super Area,Santoshpur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
06/06/22,3,25000,1100,2 out of 3,Super Area,"Regent Estate, Bijoygarh",Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
28/04/22,2,12000,800,1 out of 2,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
05/06/22,3,7500,1000,Ground out of 2,Carpet Area,south station pally dankuni,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
11/06/22,1,7000,800,1 out of 2,Carpet Area,Kumargali,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
29/06/22,1,3500,200,Upper Basement out of 4,Super Area,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
26/06/22,3,10000,1190,1 out of 2,Carpet Area,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
17/05/22,2,14000,900,Ground out of 2,Carpet Area,Salt Lake City,Kolkata,Unfurnished,Bachelors,2,Contact Agent
28/05/22,2,15000,1500,Ground out of 2,Super Area,Garia,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
15/05/22,2,6500,600,2 out of 3,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
14/05/22,3,10000,800,Ground out of 4,Super Area,Brahmapur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
09/05/22,2,10500,800,1 out of 2,Carpet Area,Santoshpur,Kolkata,Unfurnished,Family,2,Contact Owner
11/06/22,3,10000,900,Ground out of 3,Carpet Area,Garia,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
24/04/22,1,5000,350,Ground out of 3,Carpet Area,Purba Barisha,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
29/06/22,2,9000,800,Ground out of 2,Carpet Area,Sodepur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
23/06/22,2,20000,1600,Ground out of 3,Carpet Area,Jadavpur University,Kolkata,Unfurnished,Bachelors,2,Contact Owner
12/05/22,3,35000,1012,2 out of 3,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
29/04/22,3,15000,1200,Ground out of 2,Carpet Area,"Pathak Para, Behala",Kolkata,Unfurnished,Bachelors,2,Contact Owner
23/04/22,2,20000,700,1 out of 2,Super Area,Salt Lake City Sector 1,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
09/05/22,2,12000,1000,1 out of 3,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
30/06/22,2,8000,800,Ground out of 3,Carpet Area,Thakurpukur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
05/05/22,1,3000,500,Ground out of 1,Super Area,Hatiara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
20/05/22,3,20000,1200,Ground out of 1,Carpet Area,"Haridevpur, Paschim Putiary",Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
10/06/22,1,9000,450,Ground out of 2,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors,1,Contact Agent
25/06/22,3,13000,950,Ground out of 2,Carpet Area,"Rabindrapally, Garia",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
30/06/22,1,7000,350,Ground out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
03/06/22,1,9000,450,Ground out of 3,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
03/05/22,1,9000,550,Ground out of 2,Carpet Area,"Bangur Avenue, Lake Town",Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
19/05/22,2,10000,300,Ground out of 1,Carpet Area,Keshtopur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
09/05/22,3,15000,1250,Ground out of 3,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
22/06/22,2,7000,700,2 out of 3,Super Area,Garia,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
31/05/22,3,8000,812,Ground out of 3,Super Area,Hooghly,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
21/06/22,2,8000,550,Ground out of 2,Super Area,"Kalabagan, Tollygunge",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
22/06/22,1,5000,500,Ground out of 1,Super Area,Rishra,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
23/06/22,1,14000,320,1 out of 2,Carpet Area,"Action Area 3, Rajarhat Newtown",Kolkata,Furnished,Bachelors,1,Contact Owner
05/05/22,2,5000,600,Ground out of 2,Super Area,"Anandapuri, Barrackpore",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
01/06/22,2,5000,420,Ground out of 2,Carpet Area,Barasat,Kolkata,Unfurnished,Bachelors,1,Contact Owner
29/06/22,3,12000,1100,Ground out of 2,Super Area,Rabindrapally Kestopur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
29/06/22,1,3200,220,3 out of 4,Super Area,Sodepur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
10/06/22,2,8500,700,Ground out of 2,Carpet Area,Nungi More,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
06/06/22,3,16000,1200,Ground out of 2,Carpet Area,"Baishnabghata, Garia",Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent
23/05/22,2,14000,800,Ground out of 3,Carpet Area,Santoshpur - EM Bypass,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
16/06/22,1,8000,300,Ground out of 1,Carpet Area,Bansdroni,Kolkata,Furnished,Bachelors,1,Contact Agent
26/05/22,2,7000,650,Ground out of 2,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
30/05/22,1,8000,600,1 out of 2,Super Area,Garia,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
08/06/22,1,3000,350,Ground out of 3,Super Area,Belghoria,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
