Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
14/06/22,1,3800,500,1 out of 3,Carpet Area,Nalta,Kolkata,Unfurnished,Bachelors,1,Contact Owner
10/06/22,1,6500,400,1 out of 1,Super Area,"Vivek Nagar, Garfa",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
04/05/22,3,20000,1750,Ground out of 3,Super Area,Kalindi,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner
04/05/22,3,30000,1600,3 out of 3,Super Area,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
13/06/22,1,8000,300,Ground out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
25/06/22,2,14000,1100,1 out of 3,Super Area,"Survey park, Santoshpur, kolkata",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
22/06/22,2,7200,830,Ground out of 3,Super Area,Sodepur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
20/05/22,2,7000,600,Ground out of 2,Carpet Area,2 BHK,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
01/06/22,1,7000,500,1 out of 2,Super Area,Baranagar,Kolkata,Unfurnished,Bachelors,2,Contact Owner
29/06/22,2,7500,900,1 out of 2,Carpet Area,Dum Dum Cantonment,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
30/06/22,2,8500,1250,Ground out of 1,Carpet Area,Barasat,Kolkata,Unfurnished,Family,2,Contact Owner
03/06/22,2,12000,700,Ground out of 2,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors,1,Contact Agent
22/06/22,1,8500,850,Ground out of 1,Carpet Area,Dakshineswar,Kolkata,Unfurnished,Bachelors,2,Contact Owner
29/06/22,2,9500,550,Ground out of 1,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
30/06/22,2,7500,550,Ground out of 1,Carpet Area,"New Garia Metro, New Garia",Kolkata,Furnished,Bachelors/Family,2,Contact Owner
15/06/22,2,12000,1200,Ground out of 1,Super Area,Hati Bagan - Bansdroni,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
15/06/22,3,20000,1100,Ground out of 1,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors,2,Contact Agent
29/06/22,2,8500,650,Ground out of 1,Super Area,Howrah,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
15/06/22,3,20000,1050,Ground out of 1,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors,2,Contact Agent
20/05/22,2,6000,960,Ground out of 2,Super Area,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
30/05/22,2,5500,650,1 out of 1,Carpet Area,Joka,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
21/05/22,1,7000,550,Ground out of 2,Super Area,Kasba,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
21/05/22,2,7000,500,Ground out of 1,Super Area,Dum Dum Metro,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
25/04/22,1,6500,450,3 out of 4,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,1,Contact Owner
29/06/22,2,10000,850,1 out of 2,Super Area,Agarpara,Kolkata,Unfurnished,Bachelors,2,Contact Owner
01/07/22,1,5200,300,Ground out of 3,Carpet Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
25/04/22,2,13000,1000,1 out of 2,Carpet Area,"N.S.C Bose Road (Near Ushagate), New Alipore",Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner
24/05/22,2,7000,500,1 out of 3,Carpet Area,Garia,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
12/05/22,2,12000,756,Ground out of 3,Carpet Area,Dashadron Newtown Rajarhat,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
23/04/22,1,15000,1000,2 out of 3,Super Area,Barrackpore,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
05/05/22,1,5000,150,1 out of 2,Carpet Area,Anandapur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
14/05/22,1,8000,800,Ground out of 2,Carpet Area,New town near ecopark .,Kolkata,Unfurnished,Bachelors,1,Contact Owner
21/06/22,2,8000,700,2 out of 3,Super Area,"Gandhi Colony, Netaji Nagar",Kolkata,Unfurnished,Bachelors,2,Contact Agent
17/06/22,1,5000,420,3 out of 3,Super Area,Em Bypass South East,Kolkata,Unfurnished,Bachelors,1,Contact Owner
21/06/22,2,10000,800,Ground out of 1,Super Area,"Gandhi Colony, Netaji Nagar",Kolkata,Unfurnished,Bachelors,1,Contact Agent
24/06/22,2,12000,288,2 out of 3,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors,1,Contact Owner
11/06/22,2,8000,900,Ground out of 1,Super Area,"Teghoria, Baguiati",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
03/07/22,2,21000,850,1 out of 1,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors,2,Contact Agent
07/06/22,1,5000,350,1 out of 1,Carpet Area,Thakurpukur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
27/04/22,2,9000,600,Ground out of 2,Super Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
26/06/22,2,8000,1600,Ground out of 2,Carpet Area,Kalyani,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
11/06/22,2,7000,986,2 out of 3,Carpet Area,Pranthik Society Library Road Bhadreswar,Kolkata,Unfurnished,Bachelors,1,Contact Owner
03/07/22,3,35000,1330,1 out of 3,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors,2,Contact Agent
14/05/22,3,15000,1300,Ground out of 3,Super Area,Lake Town,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
22/05/22,2,6200,800,Ground out of 2,Carpet Area,Kestopur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
26/05/22,2,9900,800,1 out of 4,Carpet Area,Bijoygarh,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
03/07/22,2,7000,850,Ground out of 3,Super Area,Baranagar,Kolkata,Unfurnished,Bachelors,1,Contact Owner
10/05/22,1,5000,322,1 out of 3,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
19/06/22,2,6500,800,Ground out of 2,Carpet Area,Agarpara,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
03/07/22,4,40000,1500,Ground out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Unfurnished,Bachelors,2,Contact Agent
08/06/22,3,40000,3500,1 out of 2,Super Area,Salt Lake City,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
26/06/22,2,12000,957,1 out of 2,Carpet Area,Dasnagar,Kolkata,Furnished,Bachelors,2,Contact Owner
18/05/22,1,6500,850,1 out of 3,Carpet Area,Baksara,Kolkata,Unfurnished,Bachelors,1,Contact Owner
23/06/22,2,10000,900,Ground out of 2,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,2,Contact Owner
29/06/22,2,15000,600,Ground out of 2,Super Area,Agarpara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
09/05/22,1,5000,350,Ground out of 5,Carpet Area,Agarpara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
18/06/22,2,7000,800,Ground out of 2,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
31/05/22,2,6000,320,1 out of 2,Carpet Area,"Baishnabghata Patuli, Patuli",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
29/04/22,3,15000,800,Ground out of 4,Carpet Area,Jyangra,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
03/07/22,2,10000,700,1 out of 1,Carpet Area,Baghajatin,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
04/07/22,2,22000,1200,1 out of 2,Super Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
23/05/22,2,8500,750,1 out of 2,Carpet Area,Ramchandrapur north,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
04/07/22,3,35000,1200,Ground out of 3,Super Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Agent
12/06/22,2,7000,450,Ground out of 4,Carpet Area,"Gandhi Colony, Netaji Nagar",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
26/06/22,3,8500,1430,Ground out of 2,Super Area,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
09/05/22,2,6000,450,1 out of 3,Super Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
28/06/22,4,35000,800,Ground out of 1,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner
03/06/22,1,6000,400,1 out of 2,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
23/04/22,2,8000,650,1 out of 2,Super Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
07/06/22,1,5000,450,1 out of 2,Carpet Area,"Fartabad, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
24/05/22,2,6000,600,Ground out of 4,Super Area,Belgharia,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
10/06/22,3,15000,1200,1 out of 3,Carpet Area,Lake Town,Kolkata,Unfurnished,Family,2,Contact Owner
13/05/22,2,9000,700,3 out of 3,Carpet Area,Baguiati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
13/05/22,1,5000,300,Ground out of 1,Carpet Area,Barrackpore,Kolkata,Unfurnished,Bachelors,1,Contact Agent
26/05/22,3,8000,1200,1 out of 4,Super Area,"Ramkrishna Pally, Kaikhali",Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
03/07/22,3,35000,1300,Ground out of 1,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors,2,Contact Agent
27/06/22,1,5500,400,Ground out of 1,Super Area,"Shyam Villa V, Dum Dum",Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
03/07/22,3,35000,1320,Ground out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Unfurnished,Bachelors,2,Contact Agent
24/04/22,2,11000,1000,Ground out of 1,Super Area,"Anandapuri, Barrackpore",Kolkata,Furnished,Bachelors/Family,2,Contact Owner
28/04/22,2,10000,700,1 out of 2,Carpet Area,"Sarat Ghosh Garden, Dhakuria",Kolkata,Unfurnished,Bachelors,1,Contact Owner
10/05/22,2,6500,800,Ground out of 2,Carpet Area,locality,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
08/06/22,2,6000,900,Ground out of 3,Super Area,Baguiati,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
23/04/22,3,36125,1700,Ground out of 2,Super Area,Salt Lake City,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
28/06/22,2,6800,600,Ground out of 2,Carpet Area,Purba Putiary,Kolkata,Unfurnished,Bachelors,1,Contact Owner
20/06/22,2,8500,850,1 out of 2,Carpet Area,Barasat,Kolkata,Unfurnished,Family,2,Contact Owner
22/05/22,2,5000,550,1 out of 3,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
30/06/22,1,6500,650,Ground out of 2,Carpet Area,"Garia Station, Garia",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
23/04/22,1,6500,800,Ground out of 1,Carpet Area,Santragachi,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
31/05/22,2,4500,475,Ground out of 2,Super Area,Birati,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
19/06/22,1,6000,200,Ground out of 1,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
03/06/22,1,10000,400,Ground out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
18/05/22,1,12000,500,Ground out of 2,Super Area,"Madurdaha, Hussainpur",Kolkata,Furnished,Bachelors/Family,1,Contact Agent
19/06/22,2,12000,550,2 out of 3,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
31/05/22,2,12000,800,1 out of 2,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
22/05/22,2,9000,1000,2 out of 3,Super Area,Airport Area Behala,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
23/06/22,1,5000,400,Ground out of 5,Carpet Area,Sonarpur,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
15/06/22,1,6000,300,1 out of 2,Carpet Area,"Picnic Garden, E M Bypass",Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
03/06/22,2,5500,450,1 out of 1,Carpet Area,Bisharpara,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
03/06/22,2,5500,450,1 out of 2,Carpet Area,Bisharpara,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
08/05/22,2,8500,1100,Ground out of 1,Carpet Area,Nayabad,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
25/05/22,1,5000,450,2 out of 2,Super Area,"Ananda Pally, Jadavpur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
04/07/22,2,23000,1100,Ground out of 2,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors,2,Contact Owner
14/06/22,2,5500,650,2 out of 2,Carpet Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
03/06/22,2,8500,780,Ground out of 2,Carpet Area,Airport Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
29/04/22,3,22000,1100,Ground out of 2,Super Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
09/05/22,1,5500,800,2 out of 3,Super Area,Barrackpore,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
14/05/22,1,7000,500,Ground out of 2,Super Area,Ranikuthi Telephone Exchange,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
26/05/22,1,5000,400,3 out of 5,Carpet Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors,1,Contact Owner
03/07/22,1,5000,450,1 out of 1,Carpet Area,"Bansdroni Mauza, Krishnanagar",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
13/05/22,2,6500,550,Ground out of 1,Super Area,Kaikhali,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
30/05/22,2,8000,600,1 out of 2,Carpet Area,700051,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
26/06/22,1,5500,200,1 out of 3,Super Area,Jodhpur Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
10/05/22,2,6000,500,1 out of 2,Carpet Area,Purba Sinthi Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
19/06/22,1,5500,450,Ground out of 3,Carpet Area,Kadam Tala,Kolkata,Unfurnished,Bachelors,1,Contact Owner
14/05/22,2,10000,1050,Ground out of 1,Super Area,Baidyabati,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
26/04/22,3,10000,1000,2 out of 5,Carpet Area,Bansdroni,Kolkata,Unfurnished,Bachelors,2,Contact Owner
01/06/22,2,10000,1200,Ground out of 3,Super Area,Sodepur,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
02/07/22,3,12000,1100,1 out of 1,Super Area,Jagacha,Kolkata,Semi-Furnished,Family,2,Contact Owner
05/06/22,1,5200,220,Ground out of 2,Super Area,New Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
20/06/22,1,4000,350,1 out of 1,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
26/04/22,3,30000,1100,Ground out of 3,Carpet Area,FC Block,Kolkata,Unfurnished,Bachelors,1,Contact Owner
17/05/22,2,5146,800,Ground out of 2,Super Area,Sodepur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
01/06/22,2,12000,950,Ground out of 2,Super Area,"Satgachi, South Dum Dum",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
24/06/22,3,7000,1200,Ground out of 3,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
15/05/22,2,8500,700,Ground out of 2,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
24/06/22,1,7000,500,1 out of 3,Super Area,"AH Block, Salt Lake",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
23/06/22,2,9500,570,Ground out of 3,Super Area,"Dhakuria -South East, Dhakuria",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
30/04/22,2,8000,650,2 out of 3,Super Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
22/05/22,3,15000,1200,1 out of 2,Super Area,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
08/06/22,5,22500,960,Ground out of 1,Super Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
12/05/22,2,12500,1250,1 out of 2,Super Area,Rajarhat,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
30/05/22,3,34000,120,2 out of 5,Super Area,CA 150 sector 1 saltlake,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
28/05/22,3,14000,950,1 out of 2,Carpet Area,Kaikhali,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
03/06/22,1,9500,600,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
10/05/22,2,7000,750,2 out of 2,Super Area,Baughati,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
13/06/22,3,20000,1200,3 out of 3,Super Area,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
03/07/22,1,6500,400,Ground out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
29/04/22,1,7500,600,Ground out of 2,Carpet Area,Garfa,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
10/05/22,2,6500,700,Ground out of 2,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
14/06/22,2,9500,850,Ground out of 3,Super Area,Baguiati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
12/05/22,1,1800,500,Ground out of 1,Super Area,Shyam Bazar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
25/06/22,2,7500,650,Ground out of 2,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
17/06/22,2,10000,800,Ground out of 3,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
17/06/22,3,15000,830,3 out of 4,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
06/07/22,2,7000,600,Ground out of 2,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors,1,Contact Agent
27/04/22,2,6000,800,1 out of 2,Super Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
02/06/22,2,14000,1200,Ground out of 1,Super Area,"Sakuntala Park, Behala",Kolkata,Semi-Furnished,Family,2,Contact Owner
03/06/22,2,22000,1000,Ground out of 2,Super Area,Jheel Road,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
29/06/22,2,18000,750,Ground out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent
26/06/22,2,10000,800,Ground out of 3,Carpet Area,Garia,Kolkata,Unfurnished,Bachelors,2,Contact Owner
10/06/22,2,6000,1200,Ground out of 3,Super Area,Madhyam Gram,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
11/05/22,2,10000,750,4 out of 4,Carpet Area,"Kumarpara, Narendrapur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
10/06/22,3,10000,1500,11 out of 19,Super Area,Santoshpur,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
08/05/22,1,5000,300,1 out of 3,Super Area,"Noapara, Addarsha Pally",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
17/05/22,3,10000,800,Ground out of 2,Carpet Area,"Arobindo Pally, Paschim Putiary",Kolkata,Unfurnished,Bachelors,1,Contact Owner
10/06/22,2,7000,450,Ground out of 2,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
24/06/22,4,10000,1200,5 out of 10,Super Area,Naihati,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
10/06/22,2,6000,500,11 out of 14,Super Area,Howrah,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
26/06/22,2,18000,900,Ground out of 1,Carpet Area,Garia,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
30/06/22,2,8000,460,Ground out of 2,Carpet Area,Majarhati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
22/06/22,2,8000,530,2 out of 3,Super Area,Baghajatin,Kolkata,Semi-Furnished,Family,1,Contact Owner
15/06/22,2,13000,650,Ground out of 4,Carpet Area,Lake Gardens,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
08/05/22,2,20000,700,Ground out of 1,Carpet Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
17/06/22,2,6000,400,2 out of 3,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
27/06/22,2,12000,1000,Ground out of 2,Super Area,"Picnic Garden, Tiljala",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
04/06/22,1,10000,400,Ground out of 2,Carpet Area,"New Garia, Garia",Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
10/05/22,2,14000,700,Ground out of 3,Carpet Area,Santoshpur,Kolkata,Unfurnished,Bachelors,2,Contact Owner
03/07/22,2,10000,850,1 out of 4,Carpet Area,Baranagar,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
